DATANAME,START DATE & TIME,END DATE & TIME,CADENCE (s),DISTANCE (AU),FILE #,SOOPNAME,080223_Updated_DayeLim
hrieuvopn,20220306T173446658,20220306T173458593,2,0.50,7,L_SMALL_HRES_HCAD_Slow-Wind-Connection;R_SMALL_HRES_MCAD_Polar-Observations,
hrieuv174,20220307T002946572,20220307T002958508,2,0.50,7,R_BOTH_HRES_HCAD_Nanoflares,
hrieuv174,20220307T003100224,20220307T020955227,5,0.50,1188,R_BOTH_HRES_HCAD_Nanoflares,
hrieuv174,20220308T000003811,20220308T002921224,3,0.49,587,R_BOTH_HRES_HCAD_Nanoflares,
hrieuvopn,20220308T003100231,20220308T020955233,5,0.49,1188,R_BOTH_HRES_HCAD_Nanoflares,
hrieuvopn,20220317T001800215,20220317T004757299,3,0.38,600,R_BOTH_HRES_HCAD_Nanoflares,
hrieuv174,20220317T031800235,20220317T032836458,3,0.38,213,R_BOTH_HRES_HCAD_Nanoflares,
hrieuv174,20220317T032842230,20220317T040257234,3,0.38,686,R_BOTH_HRES_HCAD_Nanoflares,
hrieuv174,20220317T094700276,20220317T104655282,5,0.38,720,L_SMALL_HRES_HCAD_Slow-Wind-Connection,
hrieuv174,20220318T101000179,20220318T110955186,5,0.37,720,L_SMALL_HRES_HCAD_Slow-Wind-Connection,
hrieuv174,20220319T103600235,20220319T113555219,5,0.36,720,L_SMALL_HRES_HCAD_Slow-Wind-Connection,
hrieuv174,20220320T112700239,20220320T112755239,5,0.35,12,L_SMALL_HRES_HCAD_Slow-Wind-Connection,
hrieuv174,20220320T112805238,20220320T113700240,5,0.35,108,L_SMALL_HRES_HCAD_Slow-Wind-Connection,
hrieuv174,20220320T113725240,20220320T113830240,5,0.35,14,L_SMALL_HRES_HCAD_Slow-Wind-Connection,
hrieuv174,20220320T113845240,20220320T122655245,5,0.35,579,L_SMALL_HRES_HCAD_Slow-Wind-Connection,
hrieuv174,20220321T113600271,20220321T123555275,5,0.34,720,L_SMALL_HRES_HCAD_Slow-Wind-Connection,
hrieuv174,20220330T000300194,20220330T004757196,3,0.33,900,R_BOTH_HRES_HCAD_Nanoflares,
hrieuvopn,20220330T043000227,20220330T045957224,3,0.33,600,R_SMALL_HRES_MCAD_Polar-Observations,
hrieuvopn,20221012T052500239,20221012T060927542,3,0.29,890,L_FULL_HRES_HCAD_Coronal-Dynamics;R_SMALL_HRES_HCAD_RS-burst,
hrieuv174,20221013T130600194,20221013T135818228,3,0.29,1047,R_SMALL_HRES_HCAD_RS-burst,
hrieuv174,20221013T135824221,20221013T143551200,3,0.29,750,R_SMALL_HRES_HCAD_RS-burst,
hrieuv174,20221013T170000225,20221013T172955217,5,0.29,360,L_SMALL_MRES_MCAD_Connection-Mosaic,
hrieuv174,20221014T034000162,20221014T040955161,5,0.29,360,L_SMALL_MRES_MCAD_Connection-Mosaic,
hrieuv174,20221014T140000231,20221014T142955237,5,0.30,360,L_SMALL_MRES_MCAD_Connection-Mosaic,
hrieuv174,20221014T235500170,20221015T002455167,5,0.30,360,L_SMALL_MRES_MCAD_Connection-Mosaic,
hrieuv174,20221015T064000214,20221015T070605224,5,0.30,314,L_SMALL_MRES_MCAD_Connection-Mosaic,
hrieuv174,20221015T070615237,20221015T070955215,5,0.30,45,L_SMALL_MRES_MCAD_Connection-Mosaic,
hrieuvzer,20221015T140000262,20221015T142955261,5,0.30,360,L_SMALL_MRES_MCAD_Connection-Mosaic,
